#17X17
3 - 2 0 1 - 2 - - 2 0 0 2 - - 2 0
H 1 | 2 - 5 = 3 0 | 0 1 | 1 0 | 1
3 | 1 | 0 H 0 | 0 | 0 | 1 | 0 | |
| 4 = 5 = 7 - 3 - 6 = 7 = 5 - 4 |
2 | 0 0 0 H 1 - 2 H 0 H 0 | 0 H |
| 2 - - 1 H 0 0 | 5 - 4 - 3 0 H 2
3 - 5 = = 8 = = 4 H 0 0 0 | 0 2 |
| 1 H 0 0 H 0 0 | H 1 - - 3 - - 3
2 | 3 - - 6 - 3 | 6 = 5 = = 4 0 |
| 4 = 4 0 H 0 H 2 H 0 | 0 0 H 0 |
| | 0 H 0 H 1 H | 5 - 4 - - 6 - 3
2 | 0 3 - 3 | 2 | H 0 | 1 0 H 0 |
| 4 = = 4 = 5 - 2 H 0 1 | 2 H 0 3
2 | 0 0 0 0 | 1 - 5 - - 2 H H 0 H
| 3 - 3 = 2 | 0 0 | 0 0 0 H 3 - 4
1 | 1 - 2 - 3 - - 4 = 3 - 5 = 2 |
0 3 = 3 - 3 = 3 - - 3 = 3 - 2 - 2
