#17X17
2 - 3 0 1 0 0 2 0 0 3 = 3 - 2 0 1
| 0 H 0 | 1 0 H 0 0 | 3 = 3 | 2 |
3 = 8 = 4 | 0 H 0 0 | | 1 | | H |
0 1 H 0 | 2 - 7 = = 5 | | | 1 H 3
0 | 5 - 4 - 1 H 0 0 H 1 | 2 - 5 H
1 | H 0 | 3 = 7 = = 5 - 6 = 3 H 3
| 2 H 0 2 | 1 | 0 0 0 0 H 0 | 3 |
3 | 2 0 | 1 | 2 - 2 - 1 H 0 1 | 2
H 4 - - 4 - 3 - 3 = 5 - 5 - - 3 |
3 H 1 0 | 1 - 5 = 3 H 0 | 0 1 | 2
| 4 | 0 | 0 0 H 0 | 5 = 5 0 | 2 |
3 H 3 = 6 = 4 H 0 | | 0 H 0 | | 3
H 4 - 2 | 0 H 3 - 3 | 0 4 - 4 | H
3 | 0 | | 0 3 - 2 | 2 0 | 0 H 1 H
| | 2 | 4 = = 3 | 2 | 0 4 = 8 = 5
| 1 H 1 | 0 0 | 1 | 1 0 | 0 H 0 |
2 - 4 - 2 0 0 1 0 2 - - 2 0 3 - 2
