#17X17
3 - 3 = = 3 - 3 = = 3 - 3 = = 3 0
H 2 - - 2 - 3 - - 5 = 4 - - 1 | 1
3 | 0 3 = 4 | 0 0 H 0 | 1 0 0 | |
| 1 0 | 0 H 5 = 3 H 0 2 | 3 - 2 |
2 - - 5 - 3 H 0 | 3 0 | 3 H 1 - 3
0 0 0 H 0 0 H 0 1 | 0 1 H 6 = 3 |
2 - - 5 - - 6 - - 3 - - 3 H 0 | 2
| 0 0 | 0 0 H 0 1 - 2 - - 4 0 | |
4 = 2 | 1 - 7 = = 3 - - 1 | 0 | 2
| 2 = 3 0 0 H 0 0 0 0 0 0 | 0 | |
3 - 2 - - 1 H 1 - - 3 - - 5 - 2 |
| 3 = = 5 = 7 - 2 0 | 0 0 H 0 0 |
2 | 0 1 | 0 H 0 | 0 4 = = 6 - - 4
| 1 0 | 1 0 H 0 | 0 | 0 0 | 0 1 H
| 0 0 2 - - 5 = 3 0 | 1 - 2 0 | 3
1 0 2 = = 3 - 2 - - 3 - 2 - - 2 |
0 1 - 3 = = 3 - - 3 = 3 - - 2 - 2
