#17X17
0 2 - - 2 - 2 - 2 - - 2 - 2 - 1 0
1 | 0 3 - 3 - 4 - 4 = = 3 - 2 - 2
| | 0 H 0 | 0 H 0 | 0 1 - 2 - 3 |
| 4 - 6 = 7 = 7 = 6 - - 2 - 1 H 2
2 H 0 | 0 H 0 | 0 H 1 - - 2 - 4 |
| 5 = 4 - 6 - 5 = 7 - - 4 - 2 | 2
2 | 0 0 0 H 0 | 0 H 0 0 H 0 | 2 |
| 3 - - 2 H 0 4 - 6 = = 6 = 3 | |
| | 0 0 | 2 0 H 0 | 0 3 - 1 0 | 3
2 | 2 - 5 - - 6 = 5 0 H 1 - - 3 H
| 2 | 0 H 0 0 | 0 H 0 H 0 0 0 | 3
2 | 3 = 8 = = 6 = 7 - 6 = 4 - 3 |
| 3 - 3 H 0 0 | 0 H 0 | 0 | 0 | 2
2 | 0 H 3 - - 3 - 7 = 4 0 | 0 1 |
| 3 = 7 = 4 - - 1 H 0 | 0 4 - - 2
| 0 0 | 0 | 0 1 - 4 - 2 0 H 0 0 0
2 - - 2 0 1 0 0 1 - 2 - - 4 - - 1
