#17X17
0 1 - 3 = 3 - - 3 = 3 - 2 - 2 0 1
2 - 5 = 5 = = 5 = 4 - 2 - 1 | 0 |
| 0 H 0 | 0 0 | 0 | 2 - 5 = 6 = 5
3 = 7 - 5 - 1 | 0 2 | 0 H 0 | 0 H
0 0 H 0 H 3 = 5 0 | 5 = 7 = 6 - 4
2 - 7 = 5 | 0 H 0 | H 0 | 0 H 0 |
| 0 H 0 | 2 - 7 = 4 H 0 | 0 H 0 |
3 = 7 - 4 - 1 H 0 | 3 - 5 - 6 = 5
0 0 H 0 | 2 - 6 = 6 - 1 H 0 | 0 H
1 0 H 0 | | 0 | 0 H 2 - 5 = 7 = 5
| 0 5 = 5 | 0 4 - 4 | 2 - 1 H 0 |
| 0 | 0 H 1 0 H 0 | 1 | 4 = 6 - 4
3 - 3 - 5 - - 7 = 5 - 2 H 0 | 0 H
| 0 0 0 | 0 0 H 0 | 4 = 6 - 6 = 5
| 1 - - 3 - 1 H 0 1 H 0 | 0 H 0 |
| 0 0 1 - 2 - 5 = = 5 - 4 = 5 - 2
3 = 3 - 3 = 3 - 3 = = 3 - 2 - 1 0
